prospect_id,start_date,acquisition_channel,country,age_group,device,product_interest,reached_step_1,reached_step_2,reached_step_3,reached_step_4,reached_step_5,reached_step_6,time_step1_min,time_step2_min,time_step3_min,time_step4_min,time_step5_min,completed_onboarding,last_step_reached,dropout_reason,acquisition_cost_eur,transactions_90d,avg_balance_90d_eur,product_upsell_90d,nps_score
PROS-00001,2024-04-13,Organic Search,Spain,45-54,Desktop,Current Account,1,0,0,0,0,0,7.1,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,KYC document rejected,48.32,0,0.0,0,0
PROS-00002,2024-10-30,Paid Social,Netherlands,18-24,Mobile,Savings Account,1,1,1,0,0,0,11.9,3.9,4.7,0.0,0.0,0,Step 3: Personal Details Form,Verification delay,69.13,0,0.0,0,0
PROS-00003,2024-02-29,Paid Social,Spain,35-44,Desktop,Investment Account,1,0,0,0,0,0,7.7,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Technical error,95.31,0,0.0,0,0
PROS-00004,2024-03-28,Referral Program,Germany,25-34,Mobile,Business Account,1,1,1,1,1,0,2.0,5.0,11.7,7.2,2.7,0,Step 5: Identity Verification,KYC document rejected,28.77,0,0.0,0,0
PROS-00005,2024-03-12,Direct,France,18-24,Mobile,Current Account,1,1,1,1,1,1,25.3,0.5,3.9,17.1,3.2,1,Step 6: First Transaction,Completed,17.37,13,599.15,0,6
PROS-00006,2024-06-06,Direct,Belgium,25-34,Desktop,Savings Account,1,1,1,1,1,1,3.4,3.0,8.0,7.2,3.4,1,Step 6: First Transaction,Completed,23.68,8,759.36,0,9
PROS-00007,2024-05-07,Affiliate,Belgium,45-54,Mobile,Current Account,1,1,1,0,0,0,0.6,5.2,4.2,0.0,0.0,0,Step 3: Personal Details Form,Changed mind,71.69,0,0.0,0,0
PROS-00008,2024-04-26,Organic Search,Germany,25-34,Tablet,Business Account,1,1,1,0,0,0,4.7,9.5,8.8,0.0,0.0,0,Step 3: Personal Details Form,Verification delay,40.35,0,0.0,0,0
PROS-00009,2024-10-29,Branch Walk-in,Netherlands,35-44,Desktop,Business Account,1,1,1,1,1,1,6.1,4.9,10.0,2.5,2.2,1,Step 6: First Transaction,Completed,200.0,16,908.65,0,8
PROS-00010,2024-10-07,Organic Search,France,25-34,Mobile,Current Account,1,1,1,1,1,1,3.0,4.4,16.0,17.2,1.8,1,Step 6: First Transaction,Completed,45.09,14,100.0,0,8
PROS-00011,2024-10-22,Paid Social,France,18-24,Mobile,Savings Account,1,1,1,0,0,0,2.9,3.2,3.6,0.0,0.0,0,Step 3: Personal Details Form,Technical error,78.57,0,0.0,0,0
PROS-00012,2024-05-22,Referral Program,Netherlands,55+,Mobile,Investment Account,1,1,1,1,1,1,2.0,1.7,25.0,10.7,2.4,1,Step 6: First Transaction,Completed,23.88,10,352.81,0,7
PROS-00013,2024-02-02,Paid Social,Germany,55+,Mobile,Savings Account,1,0,0,0,0,0,3.4,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,Changed mind,67.88,0,0.0,0,0
PROS-00014,2024-12-13,Paid Social,Netherlands,55+,Mobile,Current Account,1,0,0,0,0,0,3.2,0.0,0.0,0.0,0.0,0,Step 1: Landing Page Visit,KYC document rejected,87.43,0,0.0,0,0
PROS-00015,2024-11-17,Branch Walk-in,Belgium,18-24,Desktop,Current Account,1,1,1,1,1,1,4.5,1.4,4.4,8.0,0.7,1,Step 6: First Transaction,Completed,177.99,13,1081.63,0,3
PROS-00016,2024-12-04,Direct,Netherlands,35-44,Mobile,Business Account,1,1,0,0,0,0,25.5,1.7,0.0,0.0,0.0,0,Step 2: Account Type Selection,KYC document rejected,16.05,0,0.0,0,0
PROS-00017,2024-12-06,Paid Social,Belgium,18-24,Mobile,Current Account,1,1,0,0,0,0,9.4,4.0,0.0,0.0,0.0,0,Step 2: Account Type Selection,Competitor offer,110.64,0,0.0,0,0
PROS-00018,2024-11-21,Paid Social,Germany,35-44,Desktop,Current Account,1,1,1,1,1,1,2.5,5.5,4.8,17.2,6.6,1,Step 6: First Transaction,Completed,99.64,17,2253.11,0,6
